time,uplift
2025-05-22,0.5248357076505616
2025-05-23,0.49408678494144076
2025-05-24,0.5343844269050346
2025-05-25,0.5791514928204012
2025-05-26,0.4922923312638332
2025-05-27,0.493293152152541
2025-05-28,0.5849606407753696
2025-05-29,0.5453717364576455
2025-05-30,0.4845262807032524
2025-05-31,0.5361280021792982
2025-06-01,0.4868291153593769
2025-06-02,0.4877135123214872
2025-06-03,0.5240981135783017
2025-06-04,0.4173359877671101
2025-06-05,0.42775410837434835
2025-06-06,0.4868856235379514
2025-06-07,0.4653584439832788
2025-06-08,0.5327123666297637
2025-06-09,0.47259879622393947
2025-06-10,0.44838481493323545
2025-06-11,0.5932824384460778
2025-06-12,0.5097111849756732
2025-06-13,0.5253764102343962
2025-06-14,0.45176259068932717
2025-06-15,0.49678086377374087
2025-06-16,0.5305461294854933
2025-06-17,0.46845032112888485
2025-06-18,0.5457849009172836
2025-06-19,0.49796806550405975
2025-06-20,0.5144153125103362
2025-06-21,0.4999146693885302
2025-06-22,0.6236139092254469
2025-06-23,0.5313251387631033
2025-06-24,0.480114453552205
2025-06-25,0.5751272456051595
2025-06-26,0.47395781750144894
2025-06-27,0.5464431797502378
2025-06-28,0.43901649380601127
2025-06-29,0.4715906975550785
2025-06-30,0.5488430617934562
2025-07-01,0.5769233289997706
2025-07-02,0.5495684140594985
2025-07-03,0.536217585880588
2025-07-04,0.5279448152205356
2025-07-05,0.47007390048162867
2025-07-06,0.5090077895802646
2025-07-07,0.5229680614520107
2025-07-08,0.5998561113109458
2025-07-09,0.5651809144784231
2025-07-10,0.46084799223186335
2025-07-11,0.5662041984697398
2025-07-12,0.5317458859791843
2025-07-13,0.5181538999847021
2025-07-14,0.5835838144420434
2025-07-15,0.6055499761247976
2025-07-16,0.6015640059558099
2025-07-17,0.5140391238388681
2025-07-18,0.5415393812074393
2025-07-19,0.5745631715701782
2025-07-20,0.607777256356118
2025-07-21,0.5360412881077355
2025-07-22,0.5517170511668091
2025-07-23,0.5066832512996986
2025-07-24,0.5031896687959664
2025-07-25,0.60462629111971
2025-07-26,0.6328120014285411
2025-07-27,0.5623994939209833
2025-07-28,0.6171766448946011
2025-07-29,0.5860818012523817
2025-07-30,0.5367440122697438
2025-07-31,0.5880697802754208
2025-08-01,0.6479018283232985
2025-08-02,0.5702086980445025
2025-08-03,0.6512321827907003
2025-08-04,0.4430127447955127
2025-08-05,0.6160951252187612
2025-08-06,0.5803523534119085
2025-08-07,0.5620496324767066
2025-08-08,0.5825880388267751
2025-08-09,0.47962155426995534
2025-08-10,0.5690164056081244
2025-08-11,0.5988556285755873
2025-08-12,0.6558947022370758
2025-08-13,0.5570864890863176
2025-08-14,0.5435753198553406
2025-08-15,0.5599121478207731
2025-08-16,0.6317701058851036
2025-08-17,0.6034375554829842
2025-08-18,0.5615119898116481
2025-08-19,0.6146633716556678
2025-08-20,0.594853877467402
2025-08-21,0.6394322495266445
